Tournament,Date,Series,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wpoints,Fpoints,SFpoints,QFpoints,sixteenpoints,thirtytwopoints,sixtyfourpoints,onehundredtwentyeightpoints,Start Date,End Date
ABN AMRO World Tennis Tournament,2023-02-13,ATP500,1st Round,Gasquet R.,Carreno Busta P.,45.0,16.0,910.0,2285.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-13,ATP500,1st Round,Dimitrov G.,Karatsev A.,28.0,98.0,1440.0,555.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-13,ATP500,1st Round,Wawrinka S.,Bublik A.,130.0,50.0,422.0,865.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-13,ATP500,1st Round,Barrere G.,Goffin D.,71.0,41.0,750.0,965.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-14,ATP500,1st Round,Brouwer G.,Huesler M.A.,160.0,47.0,367.0,896.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-14,ATP500,1st Round,Hurkacz H.,Bautista Agut R.,10.0,24.0,2950.0,1740.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-14,ATP500,1st Round,Griekspoor T.,Ymer M.,61.0,72.0,789.0,741.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-14,ATP500,1st Round,Zverev A.,Kwon S.W.,17.0,63.0,2275.0,784.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-14,ATP500,1st Round,Auger-Aliassime F.,Sonego L.,8.0,60.0,3260.0,790.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
ABN AMRO World Tennis Tournament,2023-02-14,ATP500,1st Round,Tsitsipas S.,Ruusuvuori E.,3.0,52.0,5940.0,846.0,500,330,200,100,50,25,0,0,2023-02-13,2023-02-19
