Tournament,Player,Rank,Wpoints,Start Date,End Date,Series,Wpoints,Fpoints,SFpoints,QFpoints,sixteenpoints,thirtytwopoints,sixtyfourpoints,onehundredtwentyeightpoints,Probability_128,Probability_64,Probability_32,Probability_16,Probability_QF,Probability_SF,Probability_F,Probability_W
ABN AMRO World Tennis Tournament,Gasquet R.,45.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
ABN AMRO World Tennis Tournament,Dimitrov G.,28.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2
ABN AMRO World Tennis Tournament,Wawrinka S.,130.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
ABN AMRO World Tennis Tournament,Barrere G.,71.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ABN AMRO World Tennis Tournament,Brouwer G.,160.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.7,0.55,0.45,0.35,0.2,0.1,0.05,0.01
ABN AMRO World Tennis Tournament,Hurkacz H.,10.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
ABN AMRO World Tennis Tournament,Griekspoor T.,61.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.8,0.65,0.55,0.45,0.3,0.2,0.1,0.05
ABN AMRO World Tennis Tournament,Zverev A.,17.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
ABN AMRO World Tennis Tournament,Auger-Aliassime F.,8.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
ABN AMRO World Tennis Tournament,Tsitsipas S.,3.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.99,0.97,0.95,0.92,0.9,0.85,0.8,0.75
ABN AMRO World Tennis Tournament,Medvedev D.,11.0,500,2023-02-13,2023-02-19,ATP500,500,330,1200,100,50,25,0,0,0.94,0.88,0.8,0.7,0.65,0.5,0.4,0.3
